service_id,date,exception_type
107.0.3,20250526,1
107.0.1,20250526,2
107.119.1,20250527,1
107.119.1,20250528,1
107.119.1,20250529,1
107.119.1,20250530,1
107.119.1,20250602,1
107.119.1,20250603,1
107.119.1,20250604,1
107.119.1,20250605,1
107.119.1,20250606,1
107.119.1,20250609,1
107.119.1,20250610,1
107.119.1,20250611,1
107.119.1,20250612,1
107.119.1,20250613,1
107.119.1,20250616,1
107.119.1,20250617,1
107.119.1,20250618,1
107.0.3,20250619,1
107.0.1,20250619,2
107.119.1,20250620,1
107.119.1,20250623,1
107.119.1,20250624,1
107.119.1,20250625,1
107.119.1,20250626,1
107.119.1,20250627,1
107.119.1,20250630,1
107.119.1,20250701,1
107.119.1,20250702,1
107.0.4,20250703,1
107.0.1,20250703,2
107.0.3,20250704,1
107.0.1,20250704,2
107.119.1,20250707,1
107.119.1,20250708,1
107.119.1,20250709,1
107.119.1,20250710,1
107.119.1,20250711,1
107.119.1,20250714,1
107.119.1,20250715,1
107.119.1,20250716,1
107.119.1,20250717,1
107.119.1,20250718,1
107.119.1,20250721,1
107.119.1,20250722,1
107.119.1,20250723,1
107.119.1,20250724,1
107.119.1,20250725,1
107.119.1,20250728,1
107.119.1,20250729,1
107.119.1,20250730,1
107.119.1,20250731,1
107.119.1,20250801,1
107.119.1,20250804,1
107.119.1,20250805,1
107.119.1,20250806,1
107.119.1,20250807,1
107.119.1,20250808,1
107.119.1,20250811,1
107.119.1,20250812,1
107.119.1,20250813,1
107.119.1,20250814,1
107.119.1,20250815,1
107.119.1,20250818,1
107.119.1,20250819,1
107.119.1,20250820,1
107.119.1,20250821,1
107.119.1,20250822,1
107.119.1,20250825,1
107.119.1,20250826,1
107.119.1,20250827,1
107.119.1,20250828,1
107.119.1,20250829,1
